Cuevas de Vera,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,45,67,-20
Jumilla,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,96,8
Ortigueira,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,80,74,-20
Mazarron,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,54,-13
San Roque,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,0
Baena,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,0
Baeza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,-1,0
Pozoblanco,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,-1,0
Trujillo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,0
Valdes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,0
Motril,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,0
Lalin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,0
Osuna,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,0
Grado,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,0
Requena,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,0
Aguilas,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,0
Caravaca de la Cruz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,0
Huercal-Overa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,0
