la,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001
Mendip,62306,62605,61284,60887,62647,65770,69781,79312,87175,97931,103869
Merthyr Tydfil,75811,90448,90093,80323,79858,69158,67129,63287,60708,59947,56218
Merton,61946,98479,114310,157669,157373,200140,189013,177324,166100,171909,172182
Mid Bedfordshire,46082,47120,48377,49966,53915,63401,69117,89829,102533,111878,123670
Mid Devon,46371,44927,42329,42769,43572,45618,47154,52325,58439,65073,69774
Mid Suffolk,55100,55447,53148,53168,53612,54521,54264,60722,69989,79287,86837
Mid Sussex,37247,41260,42729,45685,49446,59923,79392,100143,119043,130627,143878
Middlesbrough,85635,99101,110160,120899,121829,134429,149937,158905,150430,146305,134855
Midlothian,52847,58033,45444,48029,50318,57481,65683,79744,82411,80099,80456
Milton Keynes,35797,38364,37806,36328,39106,43183,48675,66800,124343,179231,207057
Mole Valley,26038,30005,31353,39642,43289,58871,72126,77531,77048,79888,80287
Monklands,76405,87907,84885,86009,89366,97203,106465,109646,110667,103803,101182
Monmouth,40434,42251,47166,44324,46333,47509,53905,64344,71616,75173,85381
Montgomery,55020,53232,51284,48500,48634,46118,44230,43124,48158,53097,57698
Moray,78428,77841,74177,71548,74033,76375,74989,75693,81525,84014,86940
Motherwell,141559,177544,155158,151075,153568,154470,159976,161435,150037,144344,139594
Nairn,9377,9423,8862,8368,8672,8785,8451,11051,10119,10640,11619
Neath,44136,60576,68038,71566,70583,72146,70122,67792,66572,66018,61977
New Forest,39672,45510,49238,60761,65419,86257,107067,130877,146134,161834,169636
Newark,44102,47203,47920,64838,62221,73905,83952,98837,104366,107277,110188
Newbury,45352,49194,48875,51472,54704,63766,82470,104470,121398,140518,144975
Newcastle upon Tyne,274628,306228,317120,330302,331253,346336,338348,308063,277829,277827,258768
Newcastle-under-Lyme,75482,82515,84944,88994,92838,104577,114636,119990,118205,121807,122030
Newham,365669,424907,446701,439155,393291,294017,265388,237390,209494,221190,255003
Newport,77208,96325,106882,111812,113712,122443,128449,136822,133808,139834,140896
Nithsdale,43476,43712,49577,50608,51834,55317,56031,56465,56217,57309,57198
North Bedfordshire,60983,66181,67875,69113,75827,90494,103815,124554,133116,136363,145265
North Cornwall,46887,48992,48791,49266,51364,56034,52379,56489,66464,74448,80509
North Devon,55975,57188,61044,57253,60600,63503,62804,70495,79564,85518,87508
North Dorset,34395,33642,31401,30408,33005,37205,36050,42333,46774,53806,61905
North East Derbyshire,45500,49799,54785,55412,59133,67203,81025,88394,96765,102271,99628
North East Fife,57946,64378,65121,60759,62929,62908,61072,61645,62103,70148,74828
North Hertfordshire,32842,41274,46941,54315,57755,72008,85481,99415,107262,112465,114985
North Kesteven,39046,42120,42886,44721,48515,57939,59742,72720,79242,80114,93748
North Norfolk,64152,67033,69646,66190,71065,77358,73855,74238,81903,92013,98382
North Shropshire,38198,40010,39139,39089,41673,46790,45213,47114,50044,53691,57108
North Tyneside,109842,139687,156611,162783,166678,180641,207896,207940,198209,195482,192144
North Warwickshire,24431,28897,31836,33787,34451,37729,43120,58119,59929,61398,61860
North West Leicestershire,45806,52423,57191,59277,59681,62576,64487,71044,78779,81423,85503
North Wiltshire,55097,54759,52096,53350,62649,82502,86171,94995,102583,114057,125404
Northampton,98425,101508,101848,106855,108052,115453,123320,133565,157217,184561,194093
Northavon,35774,35179,35593,39184,44977,60153,71533,104494,119297,132764,148161
Norwich,114392,121908,121157,127154,123560,122368,120953,122094,122890,127344,121286
Nottingham,245201,266252,264665,277405,283306,307849,311770,300532,272141,280631,266911
Nuneaton and Bedworth,34073,48805,58247,65438,67850,79866,90178,107604,114011,118278,119132
Oadby and Wigston,10153,11499,12453,15671,16567,21576,33577,49780,50813,53182,55795
Ogwr,60783,86901,103492,98939,102201,104172,111024,123593,130349,133679,132030
Oldham,228068,247911,248895,240603,236851,221055,215484,223985,220017,219630,217020
Orkney Islands,28699,25897,24111,22077,22481,21255,18747,17077,19056,19539,19245
Oswestry,24549,25689,26335,26491,28067,31376,29741,30264,30589,34669,37308
Oxford,57773,62711,66984,80242,81923,98544,106168,108824,99195,119362,112668
Pendle,87306,104494,106256,101768,99569,90684,86304,85619,85744,85778,89248
Penwith,55825,56094,51623,49641,51111,52069,49813,51332,55691,60008,63012
Perth and Kinross,113026,114370,115078,111264,115124,119031,117187,115987,119134,124926,131717
Peterborough,49523,53644,56635,63405,65841,77484,90957,105637,133140,155110,155888
Plymouth,208916,224396,227041,228933,227551,226678,230406,239452,245520,254486,240475
Poole,28673,40442,45535,59822,62651,82597,92022,107146,119316,135117,138288
Portsmouth,192532,235511,248280,252651,244909,233797,215132,197440,180066,188605,186701
Preseli,49156,51686,53185,53886,54710,57059,59621,61130,69354,70685,70182
Preston,125430,131727,132241,137647,138413,145351,141763,134687,126155,131716,129633
Purbeck,16630,18179,24222,24385,25706,28512,31990,36676,40778,43482,44416
Radnor,23400,22676,23538,21350,21670,20121,18536,18284,21518,23819,24805
Reading,81340,87826,92410,97135,101173,113975,120508,132945,133540,136383,143096
Redbridge,65800,112279,123897,178887,186562,256902,250080,239889,226280,231237,241909
Redditch,19261,21482,22534,22673,24810,29222,34252,40839,66609,79034,78807
Reigate and Banstead,45289,52677,54634,65416,70984,92903,115791,119627,116773,118781,126883
Renfrew,141421,163884,154018,156612,161101,172673,182538,202901,206179,200996,197062
Restormel,46124,50921,53439,54607,55651,58908,62143,72440,79439,87450,95562
Rhondda,115101,154175,163567,142049,139051,111538,100419,88953,81955,79431,64632
Rhuddlan,16017,17927,25867,25849,29774,37605,42044,47524,52330,55293,57434
Rhymney Valley,47183,88233,105475,102010,100882,95162,95969,101960,104973,104483,104476
Ribble Valley,35075,37968,38880,41498,40949,42468,43605,51312,52121,50978,52808
Richmond upon Thames,94877,123372,141603,161070,163591,188100,180949,174628,159693,164427,162019
Richmondshire,28515,28508,29199,38641,39318,50113,39760,42557,42498,46221,47010
Rochdale,162657,176354,175739,176691,174293,170449,189649,203148,207430,204913,205610
Rochester upon Medway,78691,85144,86430,86354,91425,101490,117046,139296,143846,147234,154643
Rochford,8327,10468,13840,20516,21118,28997,49350,68469,73783,75969,75737
Ross and Cromarty,42026,42885,39068,34442,35721,33653,32698,34855,47518,48968,49959
Rossendale,85515,84147,79686,77961,75575,69078,65447,61968,64690,66153,65652
Rother,40454,43924,48884,52012,53811,60537,63968,71046,75936,83183,85428
Rotherham,106783,140043,161481,178207,181684,205364,226869,243110,251775,254925,247979
Roxburgh,41510,39996,38154,39136,38684,38761,36221,35374,35277,35319,34872
Rugby,38071,45931,52427,55192,58505,67897,75187,83620,86632,85533,90624
Runnymede,25413,27337,29290,34006,39628,55589,70949,75683,71155,74712,78398
Rushcliffe,29142,35197,37649,43964,46182,56932,67669,85775,92875,99028,102756
Rushmoor,45417,52618,44911,54371,54635,64622,63191,74873,78243,79817,85092
Rutland,19188,20499,18376,17401,18771,20537,23504,27469,30805,33278,34650
Ryedale,50033,51807,50804,52072,53885,58780,65369,72619,84236,91634,101035
Salford,307581,333908,343063,338653,329105,305600,294200,279907,243865,230789,212945
Salisbury,60560,65457,69869,72293,77235,89543,91558,101105,100946,106683,114613
Sandwell,232118,263168,286608,304416,310773,341295,338380,330284,307992,294898,281984
Scarborough,76614,76308,88871,81883,87014,90289,88920,97337,101515,109359,106243
Scunthorpe,18207,24411,27399,33758,38483,54291,67347,70908,66609,62412,58144
Sedgefield,58265,74742,80827,75905,78188,77833,84626,88436,93171,91696,87496
Sedgemoor,47309,49828,49933,50873,54277,62024,69243,80972,89666,99454,106215
Sefton,182272,211364,232201,243686,250252,274870,294866,307668,299724,295242,282635
Selby,37503,41443,46237,47472,48805,52706,53634,68695,77306,92771,99462
Sevenoaks,44366,46768,49904,55605,58420,69752,88237,99535,109871,111778,110342
Sheffield,474381,528337,568964,572199,574955,583703,585865,572853,537557,529081,512494
Shepway,58681,64380,69448,71113,71259,73217,73839,82016,86503,93628,96238
Shetland Islands,28166,27911,25521,21421,22098,19352,17812,17327,27277,22503,21988
Shrewsbury and Atcham,51798,53834,55228,57205,60132,67962,72885,82395,87165,92370,95850
Skye and Lochalsh,17502,16234,14028,12699,12583,11023,10062,9725,11298,11705,12136
Slough,17171,21593,24227,38461,45424,73584,92755,99330,97389,102476,115509
Solihull,21913,26865,29504,42333,55424,94435,136172,191811,199261,201319,199123
South Bedfordshire,23922,26480,28042,29989,34661,45951,69730,88489,106662,109768,113502
South Bucks,13708,16767,20067,25830,28447,39444,57589,63726,62488,62613,64312
South Cambridgeshire,50828,52723,48975,50698,54945,65161,73939,90413,108609,123093,132697
South Derbyshire,39284,42736,42977,45286,47568,54440,55111,60948,67908,72960,82201
South Hams,43639,45626,45198,47012,49188,55354,55515,59898,68371,78617,82571
South Herefordshire,38856,39199,38683,37709,40018,43661,42623,44364,47587,52161,59963
South Holland,41991,44972,47713,51682,51880,56244,55988,56867,62040,67883,76522
South Kesteven,62669,66392,64299,64844,66975,71781,75048,85560,98245,110241,124509
