,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,,,
Sombrerete,53,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,2,-5
Sayula,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Teziutlan,55,17,-14,-17,-29,NA,NA,NA,NA,13,5,2,-29,8,-3.625
Juchitan de Zaragoza,56,12,-10,1,-7,-40,NA,NA,NA,NA,NA,NA,-40,6,-6.666666667
Zacatlan,57,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,-3,2,-1.5
San Francisco del Rincon,58,1,-3,-8,-10,NA,-10,NA,NA,15,3,4,15,9,1.666666667
Montemorelos,59,NA,NA,NA,NA,-11,-30,NA,NA,NA,NA,NA,-30,3,-10
Hermosillo,60,21,-4,12,-13,12,14,2,5,-13,2,0,21,12,1.75
Rio Grande,61,NA,NA,NA,NA,-20,NA,NA,NA,-15,NA,NA,-20,3,-6.666666667
San Miguel de Allende,62,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,27,2,13.5
Villahermosa,63,11,17,-13,19,-11,5,2,6,1,3,0,19,12,1.583333333
Metepec,64,NA,NA,NA,NA,NA,NA,NA,-31,NA,NA,NA,-31,2,-15.5
Salvatierra,65,5,NA,NA,NA,33,-69,NA,14,NA,NA,NA,-69,5,-13.8
Tehuantepec - Salina Cruz,66,38,-21,15,8,-31,-3,17,-28,5,-1,-4,38,12,3.166666667
Culiacan,67,21,14,-5,0,13,3,4,10,-8,-1,-1,21,12,1.75
Ciudad Victoria,68,14,26,-11,-2,-8,13,-4,-12,1,1,2,26,12,2.166666667
Papantla de Olarte,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
La Barca,70,NA,NA,9,-6,NA,NA,NA,NA,NA,NA,NA,9,3,3
La Piedad Cavadas,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Tenancingo de Degollado,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Uruapan del Progreso,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Cuernavaca,74,24,-24,-3,16,5,2,29,9,0,4,0,29,12,2.416666667
Sinaloa de Leyva,75,NA,NA,NA,NA,42,NA,-34,NA,NA,NA,NA,42,3,14
Ciudad Jimenez,76,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,58,2,29
