,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Koriyama,-1.0,0.0,44.0,334839.0,47.0,314689.0,49.0,286593.0,45.0,241743.0,87.0,102693.0,95.0,70948.0,73.0,57485.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kochi,-1.0,0.0,47.0,330764.0,45.0,317179.0,43.0,300829.0,47.0,240516.0,39.0,196371.0,30.0,161637.0,32.0,106651.0,35.0,77007.0,37.0,49340.0,45.0,39210.0,37.0,35594.0
Numazu,-1.0,0.0,51.0,318181.0,46.0,317156.0,45.0,298363.0,37.0,267101.0,36.0,205672.0,34.0,156536.0,45.0,86292.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Fuch˚,-1.0,0.0,72.0,226876.0,74.0,209459.0,78.0,192272.0,74.0,163288.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Soka,-1.0,0.0,73.0,225071.0,75.0,206188.0,80.0,186614.0,99.0,123327.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Atsugi,-1.0,0.0,75.0,217453.0,82.0,197341.0,100.0,145414.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ageo,-1.0,0.0,76.0,212958.0,84.0,194918.0,90.0,166281.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Chofu,-1.0,0.0,79.0,204857.0,81.0,197733.0,81.0,180516.0,79.0,157562.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tokuyama,-1.0,0.0,80.0,204254.0,72.0,211527.0,72.0,215337.0,66.0,193824.0,52.0,159504.0,43.0,137997.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Odawara,-1.0,0.0,82.0,200206.0,85.0,193443.0,83.0,177548.0,80.0,156775.0,73.0,124851.0,86.0,79500.0,80.0,51859.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kofu,-1.0,0.0,83.0,196252.0,80.0,200651.0,77.0,199381.0,70.0,182792.0,50.0,161058.0,49.0,121641.0,34.0,102453.0,34.0,79456.0,32.0,56222.0,27.0,53789.0,24.0,44227.0
Omuta,-1.0,0.0,84.0,195590.0,73.0,210096.0,66.0,224537.0,50.0,230686.0,22.0,270251.0,15.0,256245.0,27.0,124301.0,25.0,97346.0,25.0,64305.0,-1.0,0.0,-1.0,0.0
Hitachi,-1.0,0.0,85.0,193470.0,77.0,202139.0,76.0,204695.0,67.0,193241.0,49.0,161250.0,-1.0,0.0,48.0,82939.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
