,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
Teocaltiche,80.0,8962.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,93.0,22970.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Huauchinango,81.0,8907.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,76.0,24876.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tapachula,82.0,8510.0,70.0,9185.0,63.0,11538.0,58.0,13892.0,59.0,15214.0,58.0,30067.0,46.0,41758.0,54.0,66991.0,58.0,144684.0,47.0,222405.0,49.0,271674.0,49.0,320451.0
Acambaro,83.0,8358.0,59.0,10521.0,38.0,15305.0,46.0,15945.0,47.0,17685.0,92.0,23082.0,71.0,26083.0,55.0,62174.0,78.0,98266.0,74.0,112490.0,77.0,110718.0,85.0,109030.0
Amecameca,84.0,8333.0,43.0,14008.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Heroica Matamoros,85.0,8326.0,73.0,9063.0,73.0,7411.0,91.0,6086.0,54.0,15782.0,30.0,45806.0,20.0,93324.0,23.0,137715.0,36.0,238840.0,36.0,303293.0,33.0,418141.0,35.0,489193.0
Juarez,86.0,8246.0,58.0,11015.0,25.0,19551.0,17.0,39733.0,14.0,48959.0,8.0,122661.0,4.0,261727.0,3.0,407468.0,6.0,567365.0,8.0,798499.0,7.0,1218817.0,7.0,1332131.0
Cordoba,87.0,8111.0,69.0,10016.0,44.0,14712.0,42.0,16261.0,46.0,17977.0,47.0,32940.0,38.0,47420.0,45.0,78585.0,48.0,179474.0,45.0,237706.0,48.0,276553.0,50.0,316032.0
Parras,88.0,8070.0,85.0,6542.0,59.0,11983.0,47.0,15631.0,57.0,15607.0,-1.0,0.0,98.0,18746.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ameca,89.0,8035.0,-1.0,0.0,-1.0,0.0,63.0,13086.0,69.0,13022.0,-1.0,0.0,-1.0,0.0,64.0,52189.0,-1.0,0.0,97.0,54477.0,-1.0,0.0,-1.0,0.0
La Piedad - Penjamo,90.0,8012.0,67.0,19068.0,34.0,15783.0,56.0,14140.0,75.0,12498.0,54.0,31011.0,77.0,24323.0,85.0,35811.0,70.0,105625.0,50.0,219004.0,55.0,229372.0,59.0,249512.0
Piedras Negras,91.0,7934.0,56.0,11852.0,46.0,14282.0,44.0,15962.0,55.0,15728.0,68.0,27609.0,45.0,42603.0,77.0,43836.0,96.0,83030.0,71.0,115181.0,68.0,151149.0,68.0,180734.0
Ciudad Lerdo,92.0,7868.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Autlan de Navarro,93.0,7740.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,83.0,10909.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Patzcuaro,94.0,7611.0,64.0,10091.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,72.0,25998.0,-1.0,0.0,98.0,32386.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Iguala de la Independencia,95.0,7595.0,77.0,8006.0,-1.0,0.0,-1.0,0.0,71.0,12814.0,-1.0,0.0,67.0,28898.0,72.0,47544.0,94.0,83522.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Dolores Hidalgo,96.0,7532.0,79.0,7029.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Linares,97.0,7199.0,75.0,8428.0,66.0,9657.0,74.0,9676.0,38.0,21845.0,45.0,34015.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,98.0,53680.0,-1.0,0.0
San Pedro Cholula,98.0,7191.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cananea,-1.0,0.0,29.0,18084.0,-1.0,0.0,-1.0,0.0,81.0,11090.0,-1.0,0.0,90.0,19929.0,49.0,69864.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ciudad Madero,-1.0,0.0,36.0,15362.0,37.0,15389.0,27.0,21714.0,23.0,31598.0,36.0,41482.0,34.0,53576.0,36.0,90828.0,60.0,136829.0,61.0,160331.0,61.0,182325.0,65.0,197216.0
