,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,,,
Laval,NA,NA,NA,NA,NA,NA,NA,80,-2,0,2,NA,80,4,20
Mississauga,NA,NA,NA,NA,NA,NA,NA,-5,9,0,3,NA,9,4,2.25
Burnaby,NA,NA,NA,NA,NA,NA,NA,-18,-4,1,7,NA,-18,4,-4.5
Surrey,NA,NA,NA,NA,NA,NA,NA,-10,4,6,8,NA,-10,4,-2.5
Saint-Leonard,NA,NA,NA,NA,NA,NA,NA,-46,11,-19,-9,NA,-46,4,-11.5
Chilliwack,NA,NA,NA,NA,NA,NA,NA,15,-3,3,7,16,16,5,3.2
Saint-Hubert,NA,NA,NA,NA,NA,NA,NA,-43,12,5,-1,NA,-43,4,-10.75
Markham,NA,NA,NA,NA,NA,NA,NA,-17,31,21,10,NA,31,4,7.75
West Vancouver,NA,NA,NA,NA,NA,NA,NA,-63,NA,NA,NA,NA,-63,1,-63
Pointe-aux-Trembles,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-1,1,-1
Anjou,NA,NA,NA,NA,NA,NA,NA,-6,-4,NA,NA,NA,-6,2,-3
Chateauguay,NA,NA,NA,NA,NA,NA,NA,3,-4,NA,NA,44,44,3,14.66666667
Charlesbourg,NA,NA,NA,NA,NA,NA,NA,-41,34,-14,-2,NA,-41,4,-10.25
Pierrefonds,NA,NA,NA,NA,NA,NA,NA,-19,5,-8,6,NA,-19,4,-4.75
Pickering,NA,NA,NA,NA,NA,NA,NA,-8,6,16,20,NA,20,4,5
Gatineau,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,NA,4,3,1.333333333
Delta,NA,NA,NA,NA,NA,NA,NA,NA,-5,0,3,NA,-5,3,-1.666666667
Beauport,NA,NA,NA,NA,NA,NA,NA,NA,-18,-4,4,NA,-18,3,-6
Brossard,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3,-2,NA,-6,3,-2
Dollard-des-Ormeaux,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,-5,1,-5
Stoney Creek,NA,NA,NA,NA,NA,NA,NA,NA,-10,3,NA,NA,-10,2,-5
Vaughan,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,23,NA,47,2,23.5
Gloucester,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24,NA,NA,-24,1,-24
Nepean,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,1,-1
Coquitlam,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,12,NA,12,2,6
Chatmam,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,NA,NA,-18,1,-18
Ajax,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24,18,NA,-24,2,-12
Repentigny,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25,2,NA,-25,2,-12.5
St. Catharines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,53,1,53
Cape Breton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,14,14,2,7
Langley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23,NA,-23,1,-23
LaSalle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,NA,-11,1,-11
Strathcona County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,-5,1,-5
Clarington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,1,-2
Kawartha Lakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,1,-2
Maple Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,-5,1,-5
Norfolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,-3,1,-3
St. Albert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,-8,1,-8
Port Coquitlam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,1,-2
Caledon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,1,-1
White Rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,54,1,54
Milton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-5,1,-5
Fort McMurray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-5,1,-5
Vernon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,-3
Grande Prairie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,1,-2
Leamington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,-3
Beloeil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Courtenay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-6,1,-6
Penticton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Airdrie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,1,-2
Georgetown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,-3
Midland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,-3
Sorel-Tracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Bowmanville-Newcastle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Campbell River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Orangeville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,1,-4
Spruce Grove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Lloydminster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Bolton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Keswick-Elmhurst Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Val-dOr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Saint-Georges,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Stouffville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Okotoks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Quispamsis-Rothesay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Leduc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Bradford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Innisfil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,-1
Cochrane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,-3
