,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Sagunt,88.0,65813.0,80.0,56471.0,75.0,55457.0,67.0,55294.0,-1.0,0.0,65.0,40340.0,94.0,26952.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Zamora,89.0,65417.0,65.0,64845.0,64.0,64476.0,63.0,58560.0,65.0,48783.0,61.0,43830.0,66.0,38307.0,71.0,32500.0,73.0,21670.0,97.0,18007.0,87.0,16089.0,89.0,16438.0
Linea de la Concepcion,90.0,65412.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,62.0,52760.0,58.0,47430.0,43.0,55110.0,62.0,35196.0,48.0,35481.0,20.0,63232.0,36.0,30073.0,37.0,27758.0
Viladecans,91.0,64999.0,78.0,56841.0,86.0,48294.0,83.0,43358.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Estepona,92.0,64468.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Castelldefels,93.0,61858.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Benalmadena,94.0,61394.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Collado Villalba,95.0,60964.0,99.0,47001.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Irun,96.0,60747.0,79.0,56601.0,78.0,53276.0,72.0,53334.0,75.0,38068.0,74.0,34254.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Alcoy,97.0,60716.0,74.0,58358.0,63.0,65514.0,54.0,66396.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Motril,98.0,60460.0,89.0,51298.0,88.0,46500.0,87.0,40506.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,78.0,18548.0
