cityName,city,1904,city.1,1914,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
c34,-1,0,94,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c35,-1,0,95,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c36,-1,0,96,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c37,-1,0,97,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c38,-1,0,98,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c39,-1,0,99,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c40,-1,0,100,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c41,-1,0,101,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Omuta,-1,0,-1,0,25,64305,25,97346,27,124301,15,256245,22,270251,50,230686,66,224537,73,210096,84,195590,-1,0
Asahikawa,-1,0,-1,0,30,61398,29,82577,43,87519,45,126124,42,188374,30,288550,34,352694,35,359133,40,359525,58,347095
Muroran,-1,0,-1,0,33,56104,51,55999,31,107656,56,110421,63,145749,58,208624,75,206774,93,173534,-1,0,-1,0
Kushiro,-1,0,-1,0,50,39282,59,39282,67,63204,70,93444,59,150671,69,191959,73,214728,76,205667,87,191738,-1,0
Hachioji,-1,0,-1,0,51,39001,60,39001,53,75208,81,82541,53,158451,43,253508,29,387265,21,466320,20,536007,23,580053
Okazaki,-1,0,-1,0,52,38537,41,65507,47,84155,66,96069,48,166133,56,210555,55,262482,49,306851,43,336694,52,372357
Kawasaki,-1,0,-1,0,56,37014,24,104460,10,300706,12,319275,11,633027,8,973594,10,1040848,11,1173698,11,1249954,8,1425512
Ogaki,-1,0,-1,0,63,28301,65,28301,75,56186,85,82191,88,102540,91,134945,-1,0,-1,0,-1,0,-1,0
b1,-1,0,-1,0,64,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b2,-1,0,-1,0,65,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b3,-1,0,-1,0,66,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b4,-1,0,-1,0,67,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b5,-1,0,-1,0,68,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b6,-1,0,-1,0,69,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b7,-1,0,-1,0,70,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b8,-1,0,-1,0,71,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b9,-1,0,-1,0,72,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b10,-1,0,-1,0,73,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b11,-1,0,-1,0,74,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b12,-1,0,-1,0,75,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b13,-1,0,-1,0,76,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b14,-1,0,-1,0,77,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b15,-1,0,-1,0,78,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b16,-1,0,-1,0,79,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b17,-1,0,-1,0,80,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b18,-1,0,-1,0,81,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b19,-1,0,-1,0,82,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b20,-1,0,-1,0,83,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b21,-1,0,-1,0,84,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
