cityName,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
a13,-1,0,-1,0,97,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
a14,-1,0,-1,0,98,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nueva Rosita,-1,0,-1,0,-1,0,25,25647,28,25618,61,29685,58,32316,87,35042,-1,0,-1,0,-1,0,-1,0
Los Mochis,-1,0,-1,0,-1,0,64,12929,70,12973,74,25340,51,37706,53,68000,63,130427,59,162660,59,200910,56,256210
Navojoa,-1,0,-1,0,-1,0,72,11046,82,11075,97,21906,64,30839,75,44881,68,106426,83,82920,84,98190,81,113940
Moroleon,-1,0,-1,0,-1,0,73,10491,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Reynosa,-1,0,-1,0,-1,0,75,9462,90,9473,43,34170,25,74143,24,137442,28,291588,29,376676,27,524692,25,727150
Ciudad Mante,-1,0,-1,0,-1,0,79,8687,97,8665,-1,0,84,22773,63,52477,-1,0,-1,0,-1,0,-1,0
Ciudad Camargo,-1,0,-1,0,-1,0,86,7765,-1,0,73,25862,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ciudad Valles,-1,0,-1,0,-1,0,87,7249,-1,0,-1,0,79,23895,69,48425,69,106221,-1,0,-1,0,-1,0
Ciudad Delicias,-1,0,-1,0,-1,0,93,6018,-1,0,-1,0,49,39947,61,57554,-1,0,-1,0,-1,0,79,118071
Ciudad Acuna,-1,0,-1,0,-1,0,94,5690,-1,0,-1,0,89,20057,96,32500,-1,0,100,52983,-1,0,77,134233
Agua Prieta,-1,0,-1,0,-1,0,97,4176,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Puerto Vallarta,-1,0,-1,0,-1,0,99,2718,-1,0,-1,0,-1,0,84,35911,-1,0,62,151288,52,244536,42,379886
Minatitlan,-1,0,-1,0,-1,0,-1,0,45,18537,71,26771,56,35005,50,69592,42,208603,34,311407,43,323389,43,356137
Tijuana,-1,0,-1,0,-1,0,-1,0,50,16584,16,60053,10,151923,7,277383,10,461257,7,798938,5,1352035,5,1751430
Coatepec,-1,0,-1,0,-1,0,-1,0,79,11540,-1,0,-1,0,88,34798,-1,0,-1,0,-1,0,-1,0
Moroleon - Uriangato,-1,0,-1,0,-1,0,-1,0,86,10427,-1,0,-1,0,-1,0,-1,0,79,94901,82,100063,86,108669
Cortazar,-1,0,-1,0,-1,0,-1,0,91,9073,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tepatitlan de Morelos,-1,0,-1,0,-1,0,-1,0,92,8937,-1,0,-1,0,-1,0,-1,0,98,54036,94,74262,94,91959
Jerez,-1,0,-1,0,-1,0,-1,0,93,8850,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Delicias,-1,0,-1,0,-1,0,-1,0,-1,0,31,44711,-1,0,-1,0,-1,0,65,139009,66,156444,67,181768
Tamazunchale,-1,0,-1,0,-1,0,-1,0,-1,0,37,38395,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Santiago Ixcuintla,-1,0,-1,0,-1,0,-1,0,-1,0,38,38204,-1,0,-1,0,76,100428,-1,0,-1,0,-1,0
Yuriria,-1,0,-1,0,-1,0,-1,0,-1,0,39,37052,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Comalcalco,-1,0,-1,0,-1,0,-1,0,-1,0,44,34022,-1,0,-1,0,73,103239,-1,0,-1,0,-1,0
San Martin Texmelucan,-1,0,-1,0,-1,0,-1,0,-1,0,62,29464,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Atotonilco el Alto,-1,0,-1,0,-1,0,-1,0,-1,0,67,27619,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Rosario,-1,0,-1,0,-1,0,-1,0,-1,0,69,27392,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Martinez de la Torre,-1,0,-1,0,-1,0,-1,0,-1,0,78,24628,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cardenas,-1,0,-1,0,-1,0,-1,0,-1,0,82,24216,-1,0,-1,0,64,123071,95,61017,93,78637,95,91558
Cadereyta Jimenez,-1,0,-1,0,-1,0,-1,0,-1,0,84,23832,-1,0,-1,0,-1,0,99,53957,-1,0,99,68111
Melchor Muzquiz,-1,0,-1,0,-1,0,-1,0,-1,0,90,23115,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cuautla,-1,0,-1,0,-1,0,-1,0,-1,0,95,22824,-1,0,-1,0,84,94240,37,279697,38,372256,38,434147
Apatzingan,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,41,44858,73,46024,-1,0,84,76643,86,93756,89,99010
San Luis Rio Colorado,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,68,28576,66,51234,86,93410,-1,0,-1,0,-1,0
Zacapu,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,22210,65,51294,-1,0,-1,0,-1,0,-1,0
Poza Rica,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,19600,27,120526,25,307767,25,445934,30,467258,32,513518
Los Reyes de Salgado,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,19589,-1,0,-1,0,-1,0,-1,0,-1,0
Arandas,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,18926,-1,0,-1,0,-1,0,-1,0,-1,0
Huatabampo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,18523,-1,0,-1,0,-1,0,-1,0,-1,0
Rio Bravo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,42077,93,83576,91,67092,92,80140,93,95647
San Marcos,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,34786,-1,0,-1,0,-1,0,-1,0
Namiquipa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,34076,-1,0,-1,0,-1,0,-1,0
Acatlan,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,33984,-1,0,-1,0,-1,0,-1,0
Jiquilpan,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,32987,-1,0,-1,0,-1,0,-1,0
Tlapacoyan,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,32818,-1,0,-1,0,-1,0,-1,0
Pueblo Viejo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,32680,-1,0,-1,0,-1,0,-1,0
Abasolo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,32483,-1,0,-1,0,-1,0,-1,0
Jojutla,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,32213,-1,0,-1,0,-1,0,-1,0
Cintalapa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,100,31860,-1,0,-1,0,-1,0,-1,0
Ahome,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,30,254681,-1,0,-1,0,-1,0
Centro,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,31,250903,-1,0,-1,0,-1,0
Guasave,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,37,221139,-1,0,-1,0,-1,0
Jalapa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,40,212769,-1,0,-1,0,-1,0
Atizapan de Zaragoza,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,44,202248,-1,0,-1,0,-1,0
