cityName,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Collado Villalba,95,60964,99,47001,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Irun,96,60747,79,56601,78,53276,72,53334,75,38068,74,34254,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Alcoy,97,60716,74,58358,63,65514,54,66396,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Motril,98,60460,89,51298,88,46500,87,40506,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,18548
Granollers,99,59571,86,53105,79,51873,79,45348,88,30172,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
La Linea de la Concepcion,-1,0,73,59437,70,58315,64,56609,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Linares,-1,0,76,57578,69,59249,68,55122,64,51996,59,46710,48,52833,38,47640,35,42279,28,40044,26,36417,24,37715
Torrelavega,-1,0,81,55477,66,60023,65,56490,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Segovia,-1,0,83,54368,76,54375,75,50759,72,40885,70,36720,85,29683,82,24360,76,18167,98,16010,90,15092,-1,0
Cerdanyola del Valles,-1,0,85,53343,73,56612,90,40078,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Elda,-1,0,88,51593,77,54350,73,53128,70,41500,67,37260,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Merida,-1,0,92,50271,84,49284,86,41027,77,36961,75,33210,-1,0,87,22479,85,15002,-1,0,96,11271,-1,0
Avila,-1,0,94,49712,89,45977,89,40173,87,30185,87,27090,-1,0,-1,0,84,15215,-1,0,-1,0,-1,0
Fuengirola,-1,0,95,49675,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Siero,-1,0,96,47890,92,44033,88,40350,80,35993,-1,0,73,32700,72,30996,-1,0,55,27234,49,25639,59,22750
Mollet del Valles,-1,0,98,47270,97,40877,95,35480,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Pozuelo de Alarcon,-1,0,-1,0,85,48328,99,29756,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Huesca,-1,0,-1,0,91,44165,85,41455,84,31671,84,28440,-1,0,-1,0,86,14670,-1,0,-1,0,-1,0
Utrera,-1,0,-1,0,93,43220,92,38097,93,28350,64,41113,71,34990,73,30437,-1,0,81,21318,89,15111,-1,0
Cuenca,-1,0,-1,0,94,42442,91,40007,82,33631,79,30240,-1,0,85,23010,83,15687,-1,0,-1,0,-1,0
Villarreal,-1,0,-1,0,98,37927,96,34923,89,29552,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,16521
Aranjuez,-1,0,-1,0,-1,0,94,35619,92,28600,92,26002,-1,0,90,21809,-1,0,-1,0,93,13037,-1,0
Iruna,-1,0,-1,0,-1,0,-1,0,22,145036,22,130578,30,72409,23,61291,34,42304,41,32662,39,29538,31,30637
Mieres,-1,0,-1,0,-1,0,-1,0,48,65918,46,59310,39,58357,33,52041,32,42814,27,40618,43,28320,80,17935
Alcoi,-1,0,-1,0,-1,0,-1,0,52,61144,49,54990,55,43901,42,45801,33,42585,33,36508,29,33788,28,31676
Langreo,-1,0,-1,0,-1,0,-1,0,56,59563,51,53550,44,54344,46,43823,41,39898,37,34097,47,25696,75,18866
Puertollano,-1,0,-1,0,-1,0,-1,0,61,53785,56,48330,70,34969,89,22167,-1,0,88,20186,-1,0,-1,0
Portugalete,-1,0,-1,0,-1,0,-1,0,67,45657,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sestao,-1,0,-1,0,-1,0,-1,0,76,37339,94,25043,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Eibar,-1,0,-1,0,-1,0,-1,0,78,36781,76,33030,-1,0,-1,0,91,12089,-1,0,-1,0,-1,0
Puerto de Santa Maria,-1,0,-1,0,-1,0,-1,0,79,36574,77,32850,89,28368,78,28352,-1,0,92,19017,81,19748,70,19468
Alzira,-1,0,-1,0,-1,0,-1,0,86,30517,-1,0,99,24900,94,21097,79,16014,83,20874,68,22758,68,19934
Miranda de Ebro,-1,0,-1,0,-1,0,-1,0,91,29483,90,26460,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ubeda,-1,0,-1,0,-1,0,-1,0,94,28300,83,29047,80,30246,71,31199,-1,0,77,23098,75,22165,71,19410
Antequera,-1,0,-1,0,-1,0,-1,0,95,28000,85,28486,56,43395,56,37591,51,33097,45,31550,33,32200,27,31783
Igualada,-1,0,-1,0,-1,0,-1,0,96,27900,-1,0,-1,0,-1,0,90,12526,-1,0,-1,0,-1,0
San MartIn del Rey Aurelio,-1,0,-1,0,-1,0,-1,0,97,27342,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ecija,-1,0,-1,0,-1,0,-1,0,98,27300,81,29391,61,41754,62,34953,58,29958,50,29930,54,24552,57,23114
Plasencia,-1,0,-1,0,-1,0,-1,0,99,26900,-1,0,-1,0,80,25179,96,10049,-1,0,-1,0,-1,0
Tortosa,-1,0,-1,0,-1,0,-1,0,-1,0,62,43311,52,45779,55,38337,46,35938,40,33016,44,27594,46,24390
Moron de la Frontera,-1,0,-1,0,-1,0,-1,0,-1,0,82,29166,82,30107,-1,0,-1,0,-1,0,-1,0,-1,0
Tomelloso,-1,0,-1,0,-1,0,-1,0,-1,0,86,27785,81,30176,77,28505,-1,0,80,21404,-1,0,-1,0
Alcazar de San Juan,-1,0,-1,0,-1,0,-1,0,-1,0,88,27090,97,25100,84,23178,-1,0,-1,0,-1,0,-1,0
Carmona,-1,0,-1,0,-1,0,-1,0,-1,0,91,26472,92,27126,95,21036,-1,0,78,22184,-1,0,91,16333
Puente Genil,-1,0,-1,0,-1,0,-1,0,-1,0,95,24813,77,30588,88,22315,-1,0,-1,0,-1,0,-1,0
Valdepenas,-1,0,-1,0,-1,0,-1,0,-1,0,96,24661,95,26037,74,30454,65,26073,66,25283,61,23699,66,20799
Andujar,-1,0,-1,0,-1,0,-1,0,-1,0,97,23913,88,28530,86,22916,-1,0,-1,0,-1,0,90,16448
Lucena,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,68,35814,69,32700,-1,0,76,23034,79,21079,62,21311
Ronda,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,76,31043,-1,0,50,33281,48,30491,69,22713,65,20854
Martos,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,30463,-1,0,-1,0,-1,0,-1,0,86,16736
Loja,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,79,30332,-1,0,-1,0,85,20543,-1,0,72,19147
Guadix,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,83,30142,-1,0,70,22043,-1,0,-1,0,-1,0
Hellin,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,30068,-1,0,-1,0,-1,0,-1,0,-1,0
Alcala la Real,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,29269,-1,0,-1,0,-1,0,-1,0,94,15969
Estrada,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,28231,-1,0,-1,0,63,25573,57,24207,39,26810
Penarroya-Pueblonuevo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,27227,-1,0,-1,0,-1,0,-1,0,-1,0
Priego de Cordoba,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,27168,-1,0,-1,0,-1,0,-1,0,87,16784
Aller,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,25553,83,23681,-1,0,-1,0,-1,0,-1,0
Arucas,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,25000,-1,0,-1,0,-1,0,-1,0,-1,0
Vallecas,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,24,60631,-1,0,51,28465,-1,0,-1,0
Lavadores,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,54,38503,-1,0,67,25206,78,21158,-1,0
Tineo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,21301,-1,0,-1,0,58,24079,55,23441
Almendralejo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,21126,-1,0,-1,0,-1,0,-1,0
Don Benito,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,20626,-1,0,82,21052,-1,0,85,16701
Villaviciosa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,20280,-1,0,84,20799,62,23373,63,21126
a1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,1,-1,0,-1,0,-1,0,-1,0
Yecla,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,64,26465,65,25326,66,22985,77,18729
Cangas del Narcea,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74,21215,73,23759,65,23143,49,23792
Mahon,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,80,16057,97,17096,83,18021,79,18047
Baza,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,16030,-1,0,-1,0,-1,0
Manzanares,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,16080,-1,0,-1,0,-1,0
Teruel,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,13640,-1,0,97,10900,-1,0
Figueres,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,13023,-1,0,-1,0,-1,0
Xativa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,13010,-1,0,-1,0,-1,0
Calatayud,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,12056,-1,0,-1,0,-1,0
La Union,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,11864,69,24835,38,29693,34,28579
Bermeo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,10562,-1,0,-1,0,-1,0
Soria,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,10120,-1,0,-1,0,-1,0
Tudela,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,10002,-1,0,-1,0,-1,0
Ripoll,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,10011,-1,0,-1,0,-1,0
Orotava,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,9244,-1,0,-1,0,-1,0
Luarca,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,72,24172,64,23270,-1,0
Llanes,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,75,23374,77,21851,76,18844
Cuevas de Vera,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,20453,45,26543,67,20643
Jumilla,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,20336,-1,0,95,15917
Ortigueira,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,19007,80,20222,73,19001
b1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,1,-1,0,-1,0
Mazarron,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,67,22963,54,23479
San Roque,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,71,22614,-1,0
Baena,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,14519,-1,0
Baeza,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,14451,-1,0
Pozoblanco,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,12821,-1,0
Trujillo,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,12553,-1,0
c1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,1,-1,0
Valdes,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,40,26777
Lalin,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,17956
Osuna,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,17822
Grado,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,83,17435
Requena,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,16380
Aguilas,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,15849
Caravaca de la Cruz,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,15861
Huercal-Overa,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,15847
