,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
d17,-1,0,98,17,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
d18,-1,0,99,18,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kitchener,-1,0,-1,0,25,21887,20,30830,21,35756,21,59242,12,154923,16,224420,14,287871,13,378687,11,439937,9,517328
Sault Sainte Marie,-1,0,-1,0,27,21077,29,23108,33,25810,36,37129,32,58578,35,95329,46,87093,51,101829,68,74566,45,82212
Saint Catharines,-1,0,-1,0,28,19931,25,24801,27,30305,33,39454,20,95623,11,303453,12,304463,14,364610,-1,0,-1,0
Outremont,-1,0,-1,0,42,13271,24,28633,26,30869,48,28369,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
North Bay,-1,0,-1,0,51,10717,44,15552,53,15603,69,20437,51,33516,63,49188,73,57182,81,63363,89,59262,49,74078
Shawinigan,-1,0,-1,0,52,10661,46,15355,41,20380,47,28543,29,63527,57,61548,66,62710,82,61754,95,52040,59,54669
North Battleford,-1,0,-1,0,72,4817,68,6084,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Swift Current,-1,0,-1,0,73,4204,70,5351,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bonavista,-1,0,-1,0,75,4131,75,4038,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Harbour Grace,-1,0,-1,0,77,3837,78,2270,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Carbonear,-1,0,-1,0,78,3337,76,3444,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Burin,-1,0,-1,0,81,2784,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
