city,1901,city,1911,city,1921,city,1931,city,1941,city,1951,city,c1961,city,c1971,city,c1981,city,c1991,city,2002,city,2011
Lachine,3869,,,Truro,7683,Nanaimo,6756,Corner Brook,12571,Barrie,21858,Galt,27892,Saint-Jean-sur-Richelieu,48064,Chilliwack,63410,Saint-Hubert,74002,,,Prince Albert,45024
New Glasgow,3833,,,Yarmouth,7183,Prince Rupert,6441,Nanaimo,12423,Saint-Jerome,20668,Cambridge,27814,Cornwall,47103,Shawinigan,62710,La Salle,73841,,,Chatham,44676
Orillia,3709,,,Barrie,6936,Kamloops,6201,Welland,12523,Medicine Hat,20661,Salaberry-de-Valleyfield,27300,Saint Boniface,46720,Dartmouth,62391,Nanaimo,73559,,,Timmins,44315
Lauzon,3691,,,Portage la Prairie,6517,North Battleford,6084,Sorel,12307,Belleville,20529,Cap-de-la-Madeleine,26915,Lachine,44491,Verdun,61340,Saint-Leonard,73134,,,Courtenay,43346
Dundas,3625,,,Prince Rupert,6427,Saint-Jerome,5532,Levis,12083,North Bay,20437,Prince Albert,26121,Welland,44220,Saint-Jean-sur-Richelieu,60789,Saint-Laurent,72422,,,Penticton,43218
Joliette,3444,,,Kamloops,6167,Swift Current,5351,Cap-de-la-Madeleine,12035,Saint-Hyacinthe,20364,Thetford Mines,25891,Kamloops,43818,Saint-Hubert,60628,Fredericton,71973,,,Joliette,42850
Newcastle,3053,,,Nelson,5264,Whitby,5346,Forest Hill,11858,Prince Albert,20201,Corner Brook,25445,Drummondville,43584,Beauport,60494,Waterloo,71256,,,Airdrie,42844
Cote-Saint-Luc,3040,,,North Battleford,4817,Yorkton,5071,Saint-Jerome,11386,Dartmouth,20004,Medicine Hat,25310,Glace Bay,43584,Nanaimo,57794,Sainte-Foy,71162,,,Victoriaville,41925
Saint-Jerome,2981,,,Swift Current,4204,Kelowna,4793,Brockville,11367,Stratford,19878,Red Deer,25237,New Westminster,42179,North Bay,57182,Charlesbourg,70825,,,St. Thomas,40973
Richmond Hill,2956,,,Whitby,4170,Grand Falls,4564,Pembroke,11249,North Vancouver,19831,Westmount,25021,Timmins,41514,Hull,56282,Prince George,69789,,,Georgetown,40185
Summerside,2927,,,Bonavista,4131,Bonavista,4038,Dartmouth,10820,Thetford Mines,19388,Fredericton,24855,Saint-Hyacinthe,39735,Drummondville,54480,Beauport,69219,,,Salaberry-de-Valleyfield,38323
Whitby,2879,,,Grand Falls,3846,Carbonear,3444,Drummondville,10675,Forest Hill,19097,Eastview,24693,Granby,39395,Cornwall,53437,Saint-Jean-sur-Richelieu,68497,,,Woodstock,37443
Wallaceburg,2809,,,Harbour Grace,3837,Prince George,2536,Victoriaville,10462,Eastview,19073,Glace Bay,24258,Galt,38903,Brossard,52290,Pickering,68459,,,Midland,36137
Simcoe,2702,,,Carbonear,3337,Harbour Grace,2270,Truro,10317,Saint-Thomas,19046,Longueuil,24142,Nanaimo,38816,Medicine Hat,49621,Drummondville,68160,,,Sorel-Tracy,35770
Regina,2652,,,Saint-Jerome,3328,Dawson,855,Fredericton,10135,La Salle,18922,North Vancouver,23730,Waterloo,37934,Waterloo,49409,Dartmouth,67891,,,Bowmanville-Newcastle,35168
Renfrew,2607,,,Summerside,3256,Whitehorse,529,Orillia,9894,East Kildonan,18671,Pointe-Claire,22893,Fredericton,37730,Red Deer,46402,Brossard,64869,,,Campbell River,33448
Glace Bay,2531,,,Burin,2784,Abbotsford,510,Barrie,9748,Woodstock,18219,Saint-Thomas,22561,Salaberry-de-Valleyfield,37473,Timmins,46148,North Bay,63363,,,Moose Jaw,32546
Sydney Mines,2526,,,Kelowna,2520,,,New Toronto,9584,Fredericton,18092,Rimouski,22452,Saint-Hubert,36984,Welland,45467,Shawinigan,61754,,,Orillia,30546
Saguenay,2364,,,Red Deer,2346,,,Trail,9469,Cornwall,18002,Joliette,22294,Markham,36714,Charlottetown,45069,Verdun,61356,,,Stratford,30516
Newmarket,2192,,,Wetaskiwin,2104,,,New Waterford,9323,Joliette,16917,New Glasgow,22017,West Vancouver,36423,Saint-Jerome,43569,Whitby,61329,,,Orangeville,29007
Magog,2131,,,Dawson,1088,,,New Glasgow,9248,Rouyn-Noranda,16875,Victoriaville,21785,Pointe-aux-Trembles,35662,Abbotsford,42007,Hull,60734,,,Spruce Grove,27970
Riviere du Loup,2128,,,Whitehorse,353,,,Waterloo,9070,Owen Sound,16712,Waterloo,21411,Saint-Jerome,35374,Chatham,41041,Red Deer,58149,,,Lloydminster,27769
Brampton,2122,,,,,,,Magog,9051,Leaside,16596,West Kildonan,21052,Chatham,35344,Dollard-des-Ormeaux,39949,Charlottetown,57589,,,Bolton,27108
Lethbridge,2072,,,,,,,North Vancouver,8932,Charlottetown,16442,Stratford,20533,Belleville,35239,New Westminster,38667,Ajax,57446,,,Keswick-Elmhurst Beach,26002
Saint-Jean-sur-Richelieu,2046,,,,,,,Rouyn-Noranda,8803,Sorel,16368,Woodstock,20500,Sorel,34588,Pierrefonds,38433,Cornwall,53551,,,Val-dOr,25023
