Code;Name EN;Province;Lat;Long;1982;1990;2000;2010
CNSHU2301A;SHUANGCHENG;HEILONGJIANG;45.383285;126.312555;134003;167308;513031;400350
CNNIN2310A;NINGAN;HEILONGJIANG;44.34072;129.482851;90143;145423;282714;395833
CNZHU2102A;ZHUANGHE;LIAONING;39.681237;122.967062;165061;125340;266331;394562
CNFUD3509A;FUDING;FUJIAN;27.324479;120.216978;;;228294;392426
CNYUA1409A;YUANPING;SHANXI;38.731402;112.711059;55794;78467;206779;391804
CNCHE4206B;CHENGGUAN;HUBEI;31.8728;111.2629;;;;391220
CNKEL6502A;KELAMAYI;XINJIANG;45.579889;84.889207;168868;210064;270232;391008
CNXIA4212B;XIAN AN;HUBEI;29.830858;114.421021;;;;390063
CNXIA4212A;XIANNING;HUBEI;29.841438;114.322439;84811;115222;266570;390063
CNCHI4212A;CHIBI;HUBEI;29.724692;113.900628;;;331707;385261
CNZHO3213B;ZHONGXING;JIANGSU;33.7119;118.6789;;;;384701
CNJIN5106A;JINGYANG;SICHUAN;30.2869;118.5411;;;;383245
CNDEY5106A;DEYANG;SICHUAN;30.372;110.0207;147542;177117;152133;383245
CNGUA5108A;GUANGYUAN;SICHUAN;32.435435;105.843357;106655;182488;309661;382366
CNGAN3607A;GANZHOU;JIANGXI;25.817816;114.921171;191214;182331;178406;378918
CNSAN3504A;SANMING;FUJIAN;26.263406;117.638678;204307;266855;337105;375497
CNYON4311A;YONGZHOU;HUNAN;26.420394;111.613445;72076;85567;196530;375359
CNHAN6109B;HANBIN;SHAANXI;32.695172;109.026836;252066;296254;312225;375124
CNCUI5115A;CUIPING;SICHUAN;28.765689;104.620009;;;143674;374911
CNLUO5106B;LUOJIANG;SICHUAN;31.126856;104.398021;295084;354234;365172;373898
CNCHE4310A;CHENZHOU;HUNAN;25.77051;113.014718;274958;332454;346280;373704
CNCHU3411A;CHUZHOU;ANHUI;32.253425;118.328321;102984;121729;291763;370770
CNCHE3403A;CHENGGUAN;ANHUI;33.3156;117.3134;;;;370649
CNJIA3202A;JIANGYIN;JIANGSU;31.920673;120.284946;213554;156044;186388;369715
CNLIU3415A;LIUAN;ANHUI;31.745011;116.505693;;;355816;368511
CNXIA4209A;XIAONAN;HUBEI;30.924568;113.916903;119527;141315;165240;366961
CNLUC3414A;LUCHENG;ANHUI;30.0555;101.9545;;;121069;365739
